
model_name							execution_time (approx.)		node_type
ViT									22 hrs							single GPU
Gabor								24 hrs							single GPU
Sobel (trainbele)					30 hrs							single GPU
Sobel (non-trainbele)				28 hrs							single GPU
Laplacian (trainbele)				37 hrs							single GPU
Laplacian (non-trainbele)			34 hrs							single GPU		
FFT (all but trainable)				26 hrs							single GPU
FFT Trainable						32 hrs							single GPU
gWaveNet (prior-kernel-applied)		39 hrs							single GPU
gWaveNet (no-trainable-layer)		42 hrs							single GPU
gWaveNet (with-traible-layer)		45 hrs							single GPU
