Methods,Train Accuracy,Validation Accuracy,Test Accuracy,F1 Score,Kernels
gWaveNet_9x9_60%,89.74,87.85,86.66,86.39,9x9
gWaveNet_7x7_60%,94.18,93.24,89.99,88.67,7x7
gWaveNet_5x5_60%,93.99,92.46,86.66,84.39,5x5
gWaveNet_3x3_60%,94.02,92.27,93.75,90.76,3x3
gabor_7x7_60%,99.86,93.44,91.04,93.50,7x7
sobel_3x3_60%,89.70,82.66,68.15,69.37,3x3
vgg16_3x3_60%,99.37,80.86,64.17,63.17,3x3
gWaveNet_9x9_40%,99.50,85.14,63.74,61.35,9x9
gWaveNet_7x7_40%,98.10,91.04,64.10,64.30,7x7
gWaveNet_5x5_40%,99.29,83.33,69.08,70.36,5x5
gWaveNet_3x3_40%,99.59,82.76,73.33,75.19,3x3
gabor_7x7_40%,99.93,92.66,90.88,92.05,7x7
sobel_3x3_40%,88.40,80.76,66.28,67.71,3x3
vgg16_3x3_40%,100.00,77.99,74.76,--,3x3
